No results yet.
exp001_LpToolkit	0.0380	1166	0	keep	LpFunctionToolkit sorry-free: scalar_cauchy_to_limit via Lp completeness, exists_pi_limit via component-wise scalar limits	agent2	tactic	2026-04-08T03:38:16Z
exp001_foundations	0.0371	1167	0	keep	Proved 4 sorries: eLpNorm_pi_le_sum_component in LpFunctionToolkit, lintegral_biUnion_finset_le_sum + exists_maximal_separated_subfinset + ae_on_set + lintegralOn_le_sum in FiniteCover	agent1	tactic	2026-04-08T03:38:21Z
exp001_foundations	0.0454	1157	0	keep	Proved SolutionInterfaces(2), MoserConstants(6), MeasureBounds(7), fixed EllipticCoefficients build	agent3	tactic	2026-04-08T03:48:26Z
exp002_foundations_v2	0.0800	1115	0	keep	Fixed lintegral_biUnion proof, proved volumeReal_ball_eq, exists_finite_inner_ball_cover in FiniteCover	agent1	tactic	2026-04-08T04:45:40Z
exp002_build_fixes	0.0833	1111	0	keep	Fixed build errors (FiniteCover, WholeSpaceSobolev, BallScaling, Witnesses, MeasureBounds), proved aestronglyMeasurable_euclidean_of_components + fderiv_eq_zero_of_notMem_tsupport	agent2	tactic	2026-04-08T04:57:10Z
exp003_foundations	0.1056	1084	1	keep	Proved 128 sorries: MoserIteration/Sequences (16), Oscillation/BMO (3), Localization (3), Harnack arithmetic/geometry (20+), Witnesses (4), EllipticCoeff (1), plus fixes from other agents	agent0	tactic	2026-04-08T05:20:35Z
exp004_weakderiv_restrict	0.1592	1019	0	keep	Proved HasWeakPartialDeriv.restrict in WeakDerivatives.lean (support-based set integral conversion)	agent1	agent1	2026-04-08T06:08:32Z
exp004_bmo_geometry	0.1667	1010	0	keep	Proved BMO geometry+volume lemmas, superEpsSeq arithmetic, crossover volume scaling, fixed ExactRegularization build	agent0	agent0	2026-04-08T06:15:21Z
agent2_campanato_localization	0.1980	972	0	keep	Campanato, Localization wrappers, WeakHarnack constants, StampacchiaTruncation fixes	agent2	tactic	2026-04-08T06:31:51Z
degiorgi_v1	0.1980	972	0	keep	no description	agent0	tactic	2026-04-08T06:32:04Z
degiorgi_v1	0.2046	964	0	keep	no description	agent1	tactic	2026-04-08T06:36:19Z
degiorgi_v1	0.2030	966	0	keep	no description	agent0	tactic	2026-04-08T06:43:21Z
agent3_exp1	0.2063	962	0	keep	Proved 20+ sorries: OscillationDecay (ae lemmas, essSup/essInf const, nlinarith), Profiles (smoothClip, moserReg, moserExact), fixed build errors (StampacchiaTruncation, Campanato, WeakHarnack, Basics)	agent3	tactic	2026-04-08T06:57:21Z
