exp001	0.00000000e+00	0.000000	0.000000	keep	trivial branch, u_offset=0, amp=0, fourier method	agent2	initial_cond	1	0.000000
exp002	crash	0	0	crash	positive branch, u_offset=0.9, amp=0.1, fourier	agent2	initial_cond	0	0
exp003	5.72745888e-09	1.002503	1.000218	keep	positive branch, u_offset=0.9, amp=0.1, scipy	agent2	initial_cond	1	-1.523848
exp004	2.41595655e-09	1.002503	-1.000218	keep	negative branch, u_offset=-0.9, amp=0.1, scipy	agent2	initial_cond	0	-1.523848
exp005	0.00000000e+00	0.000000	0.000000	keep	Fourier trivial branch, u_offset=0, amp=0	agent3	initial_cond	0	0.000000
exp006	crash	0	0	crash	Fourier positive branch, u_offset=0.9, amp=0.1	agent3	initial_cond	0	0
exp007	crash	0	0	crash	scipy positive branch, u_offset=0.9, amp=0.1, tol=1e-12, nodes=196	agent3	initial_cond	1	0
exp008	crash	0	0	crash	positive branch, u_offset=0.9, amp=0.1, fourier method	agent4	initial_cond	0	0
exp009	0.00000000e+00	0.000000	0.000000	discard	trivial branch, u_offset=0, amp=0, fourier spectral	agent5	initial_cond	0	0.000000
exp010	crash	0	0	crash	positive branch, u_offset=1.0, amp=0.05, fourier, tighter init	agent2	initial_cond	1	0
exp011	2.42766034e-13	1.001296	1.000019	discard	positive branch, u_offset=1.0, amp=0.15, fourier 32 modes	agent2	initial_cond	1	-1.520844
exp012	crash	0	0	crash	scipy positive branch, u_offset=1.0, amp=0.05, tol=1e-12, nodes=196	agent3	initial_cond	0	0
exp013	crash	0	0	crash	positive branch, u_offset=0.9, amp=0.1, fourier spectral	agent5	initial_cond	1	0
exp014	1.39524340e-13	1.001296	-1.000019	discard	negative branch, u_offset=-1.0, amp=0.15, fourier 32 modes	agent2	initial_cond	1	-1.520844
exp015	2.61702881e-13	1.001296	-1.000019	discard	negative branch, u_offset=-1.0, amp=0.15, fourier 64 modes	agent2	initial_cond	0	-1.520844
exp016	2.88051949e-13	1.001296	1.000019	discard	positive branch, fourier, newton_tol=1e-12, maxiter=100	agent5	initial_cond	0	-1.520844
exp017	crash	0	0	crash	negative branch, u_offset=-1.0, fourier 64, newton_tol=1e-15	agent2	solver_param	0	0
exp018	crash	0	0	crash	Fourier positive branch, u_offset=1.0, amp=0.15, 32 modes	agent3	initial_cond	0	0
exp019	3.53361730e-13	1.001296	-1.000019	discard	negative branch, u_offset=-0.9, amp=0.1, fourier spectral	agent5	initial_cond	0	-1.520844
exp020	crash	0	0	crash	negative branch, fourier 64, newton_tol=1e-14	agent2	solver_param	0	0
exp021	crash	0	0	crash	positive branch, u_offset=1.0, amp=0.2, fourier, 100 newton iters	agent4	initial_cond	0	0
