exp001	0.00000000e+00	0.000000	0.000000	keep	baseline trivial branch u_offset=0	agent0	initial_cond	0	0.000000
exp002	2.66626099e-13	1.001296	1.000019	keep	positive branch u_offset=0.9	agent0	initial_cond	0	-1.520844
exp003	0.00000000e+00	0.000000	0.000000	keep	trivial branch u_offset=0	agent1	initial_cond	0	0.000000
exp004	2.66626099e-13	1.001296	-1.000019	discard	negative branch u_offset=-0.9	agent0	initial_cond	1	-1.520844
exp005	crash	0	0	crash	positive branch u_offset=0.9 with newton_tol=1e-14	agent1	solver_param	1	0
exp006	3.56461016e-13	1.001296	-1.000019	discard	positive branch with mode-2 perturbation amplitude=0.1	agent0	perturbation	0	-1.520844
exp007	crash	0	0	crash	positive branch u_offset=0.9 with fourier_modes=128	agent1	solver_param	1	0
exp008	5.28434663e-13	1.001296	-1.000019	discard	positive branch u_offset=0.9 with small amplitude=0.05	agent0	perturbation	0	-1.520844
exp009	2.28944733e-13	1.001296	-1.000019	discard	basin boundary search u_offset=0.5	agent2	initial_cond	1	-1.520844
exp010	3.56461016e-13	1.001296	-1.000019	discard	negative branch u_offset=-0.9 with mode-2 amplitude=0.1	agent0	perturbation	1	-1.520844
exp010	0.00000000e+00	0.000000	0.000000	discard	trivial branch with fourier_modes=128	agent3	solver_param	1	0.000000
exp011	2.66626099e-13	1.001296	1.000019	discard	positive branch u_offset=0.9 with phase=pi	agent0	initial_cond	0	-1.520844
exp012	2.64988611e-20	0.000000	0.000000	discard	basin boundary u_offset=0.3	agent2	initial_cond	0	0.000000
exp013	crash	0	0	crash	positive branch u_offset=0.9 with newton_tol=1e-14	agent0	solver_param	0	0
exp014	4.40113707e-21	0.000000	0.000000	discard	transition u_offset=0.4	agent2	initial_cond	0	0.000000
exp015	crash	0	0	crash	positive branch u_offset=0.9 with fourier_modes=128	agent0	solver_param	0	0
exp016	3.94755575e-16	0.000000	0.000000	discard	narrowing transition u_offset=0.45	agent2	initial_cond	1	-0.000000
exp017	2.28944733e-13	1.001296	-1.000019	discard	basin boundary u_offset=0.5 between trivial and positive	agent3	branch_search	0	-1.520844
exp018	2.28944733e-13	1.001296	1.000019	discard	symmetry test u_offset=-0.5	agent2	initial_cond	0	-1.520844
exp019	3.35932291e-13	1.001296	1.000019	discard	intermediate basin u_offset=0.45 with small perturbation	agent1	branch_search	4	-1.520844
exp020	2.76001344e-13	1.001296	1.000019	discard	basin boundary u_offset=0.6	agent3	branch_search	5	-1.520844
exp021	crash	0	0	crash	positive branch with fourier_modes=128 newton_maxiter=200	agent0	solver_param	4	0
exp022	2.13371637e-13	1.001296	-1.000019	discard	basin boundary u_offset=0.55	agent3	branch_search	1	-1.520844
exp023	3.60057049e-13	1.001296	1.000019	discard	positive branch u_offset=0.9 with mode-3 perturbation amplitude=0.05	agent1	perturbation	0	-1.520844
exp024	crash	0	0	crash	intermediate u_offset=0.5	agent0	initial_cond	1	0
exp025	4.20232224e-13	1.001296	-1.000019	discard	basin boundary u_offset=0.57	agent3	branch_search	1	-1.520844
exp026	3.27355159e-13	1.001296	-1.000019	discard	basin boundary u_offset=0.58	agent3	branch_search	0	-1.520844
exp027	2.93174744e-13	1.001296	1.000019	discard	positive branch u_offset=0.9 with phase=pi/2 amplitude=0.08	agent1	perturbation	1	-1.520844
exp027	2.28944733e-13	1.001296	-1.000019	discard	intermediate u_offset=0.5	agent0	initial_cond	1	-1.520844
exp028	3.88079599e-13	1.001296	1.000019	discard	basin boundary u_offset=0.59	agent3	branch_search	0	-1.520844
exp029	2.64988611e-20	0.000000	0.000000	discard	u_offset=0.3	agent0	initial_cond	1	0.000000
exp030	3.40505905e-13	1.001296	1.000019	discard	positive branch u_offset=0.85 with small amplitude=0.02	agent1	initial_cond	0	-1.520844
exp031	3.48477681e-13	1.001296	1.000019	discard	u_offset=0.7	agent0	initial_cond	0	-1.520844
exp032	2.76001344e-13	1.001296	1.000019	discard	u_offset=0.6	agent0	initial_cond	0	-1.520844
exp033	2.76001344e-13	1.001296	-1.000019	discard	u_offset=-0.6	agent0	initial_cond	1	-1.520844
exp034	2.52336260e-13	0.000000	0.000000	discard	fine search u_offset=0.42	agent2	initial_cond	0	-0.000000
exp035	2.28944733e-13	1.001296	1.000019	discard	u_offset=-0.5	agent0	initial_cond	0	-1.520844
exp036	3.19957670e-13	1.001296	1.000019	discard	fine search u_offset=0.48	agent2	initial_cond	1	-1.520844
exp037	crash	0	0	crash	positive branch u_offset=0.55 with fourier_modes=128 newton_maxiter=200	agent1	initial_cond	1	0
exp038	2.13371637e-13	1.001296	1.000019	discard	u_offset=-0.55	agent0	initial_cond	0	-1.520844
exp039	3.48477681e-13	1.001296	-1.000019	discard	u_offset=-0.7	agent0	initial_cond	2	-1.520844
exp040	2.74270461e-13	1.001296	-1.000019	discard	basin boundary u_offset=0.585 at critical transition	agent3	branch_search	3	-1.520844
exp041	7.64566347e-23	0.000000	-0.000000	discard	transition search u_offset=0.46	agent2	initial_cond	3	0.000000
exp042	crash	0	0	crash	u_offset=0.55 with fourier_modes=96 newton_maxiter=150	agent1	initial_cond	2	0
exp043	3.45536827e-13	1.001296	-1.000019	discard	narrowing bifurcation u_offset=0.47	agent2	initial_cond	0	-1.520844
exp044	crash	0	0	crash	positive branch with mode-2 perturbation and tighter newton_tol=1e-14	agent3	perturbation	0	0
exp045	2.10061857e-13	1.001296	-1.000019	discard	intermediate u_offset=0.52	agent1	branch_search	1	-1.520844
